dedupe_key,symbol,strategy_family,strategy_label,parameter_hash,run_count_before_dedupe,kept_run_id,dropped_run_ids,has_conflict_duplicates
AMD::macd_crossover::macd-10-30-9::ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,AMD,macd_crossover,macd-10-30-9,ecb8de5567887d0d5655ffc7418ad0e8a9b715ae,2,AMD-macd-10-30-9-20260412T075438-macd-10-30-9,['AMD-macd-10-30-9-20260412T074855-macd-10-30-9'],False
AMD::macd_crossover::macd-5-35-5::5cf7374800361e5fe1dd036e0afe65c9da0c4690,AMD,macd_crossover,macd-5-35-5,5cf7374800361e5fe1dd036e0afe65c9da0c4690,2,AMD-macd-5-35-5-20260412T075438-macd-5-35-5,['AMD-macd-5-35-5-20260412T074855-macd-5-35-5'],False
AMD::macd_crossover::macd-8-21-5::533530cf71e232d34ce704c3153f276e2cb4f8ec,AMD,macd_crossover,macd-8-21-5,533530cf71e232d34ce704c3153f276e2cb4f8ec,2,AMD-macd-8-21-5-20260412T075438-macd-8-21-5,['AMD-macd-8-21-5-20260412T074855-macd-8-21-5'],False
AMD::macd_crossover::macd-baseline::cc7f7d1c3dad2ebaf928756250404dc3b06d7200,AMD,macd_crossover,macd-baseline,cc7f7d1c3dad2ebaf928756250404dc3b06d7200,2,AMD-macd-baseline-20260412T075437-macd-baseline,['AMD-macd-baseline-20260412T074854-macd-baseline'],False
AMD::moving_average_crossover::ma-10-30::35be04e412c34f2580005e7e234e9d7b041634a8,AMD,moving_average_crossover,ma-10-30,35be04e412c34f2580005e7e234e9d7b041634a8,2,AMD-ma-10-30-20260412T075436-ma-10-30,['AMD-ma-10-30-20260412T074853-ma-10-30'],False
AMD::moving_average_crossover::ma-3-15::69374c13bf7522591efb43b570e65bdd31da3add,AMD,moving_average_crossover,ma-3-15,69374c13bf7522591efb43b570e65bdd31da3add,2,AMD-ma-3-15-20260412T075435-ma-3-15,['AMD-ma-3-15-20260412T074852-ma-3-15'],False
AMD::moving_average_crossover::ma-8-21::68876fc46f1bc740ab36d47876747c7ba2407011,AMD,moving_average_crossover,ma-8-21,68876fc46f1bc740ab36d47876747c7ba2407011,2,AMD-ma-8-21-20260412T075435-ma-8-21,['AMD-ma-8-21-20260412T074852-ma-8-21'],False
AMD::moving_average_crossover::ma-baseline::33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,AMD,moving_average_crossover,ma-baseline,33bc22daf5108f93b692b8c7f7d6c24e9b9ee9e6,2,AMD-ma-baseline-20260412T075434-ma-baseline,['AMD-ma-baseline-20260412T074852-ma-baseline'],False
AMD::rsi_threshold::rsi-14-35-65::85f9b6d3e41d73d152f44383b094863ca64d0c83,AMD,rsi_threshold,rsi-14-35-65,85f9b6d3e41d73d152f44383b094863ca64d0c83,2,AMD-rsi-14-35-65-20260412T075437-rsi-14-35-65,['AMD-rsi-14-35-65-20260412T074854-rsi-14-35-65'],False
AMD::rsi_threshold::rsi-21-30-70::4dbe4870cef1a5db9953fc5af2742bde5104a63c,AMD,rsi_threshold,rsi-21-30-70,4dbe4870cef1a5db9953fc5af2742bde5104a63c,2,AMD-rsi-21-30-70-20260412T075437-rsi-21-30-70,['AMD-rsi-21-30-70-20260412T074854-rsi-21-30-70'],False
AMD::rsi_threshold::rsi-6-25-75::314f044a3bf4b4a0fc0db67d15c755c2afdbef55,AMD,rsi_threshold,rsi-6-25-75,314f044a3bf4b4a0fc0db67d15c755c2afdbef55,2,AMD-rsi-6-25-75-20260412T075436-rsi-6-25-75,['AMD-rsi-6-25-75-20260412T074853-rsi-6-25-75'],False
AMD::rsi_threshold::rsi-baseline::f7c06f158ab2eb36975772ca7503b4e1d278befd,AMD,rsi_threshold,rsi-baseline,f7c06f158ab2eb36975772ca7503b4e1d278befd,2,AMD-rsi-baseline-20260412T075436-rsi-baseline,['AMD-rsi-baseline-20260412T074853-rsi-baseline'],False
